Map,Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
MINI COSMOS,1,A_star,367,37,0.004019,0.222656
MINI COSMOS,2,A_star,1383,60,0.011962,0.320312
MINI COSMOS,3,A_star,2428,69,0.028921,0.386719
MINI COSMOS,4,A_star,893,71,0.012001,0.390625
MINI COSMOS,5,A_star,5618,104,0.074790,0.843750
MINI COSMOS,6,A_star,16432,99,0.225395,2.351562
MINI COSMOS,7,A_star,4411,61,0.046874,2.351562
MINI COSMOS,8,A_star,12498,93,0.147125,2.464844
MINI COSMOS,9,A_star,2291,85,0.023919,2.464844
MINI COSMOS,10,A_star,6476,102,0.076796,2.464844
MINI COSMOS,11,A_star,5318,74,0.044919,2.464844
MINI COSMOS,12,A_star,28239,112,0.307178,3.402344
MINI COSMOS,13,A_star,13219,80,0.115747,3.292969
MINI COSMOS,14,A_star,91166,121,1.240704,9.945312
MINI COSMOS,15,A_star,4939,82,0.039894,8.027344
MINI COSMOS,16,A_star,12398,114,0.119677,8.554688
MINI COSMOS,17,A_star,3033,65,0.026903,7.644531
MINI COSMOS,18,A_star,10802,110,0.106713,7.820312
MINI COSMOS,19,A_star,5702,72,0.040888,7.835938
MINI COSMOS,20,A_star,17847,112,0.152588,8.339844
MINI COSMOS,21,A_star,6146,71,0.051861,7.734375
MINI COSMOS,22,A_star,14291,99,0.131662,8.277344
MINI COSMOS,23,A_star,21904,99,0.203492,8.214844
MINI COSMOS,24,A_star,166240,177,1.666523,16.191406
MINI COSMOS,25,A_star,5465,81,0.044930,14.292969
MINI COSMOS,26,A_star,23664,133,0.227340,14.734375
MINI COSMOS,27,A_star,7139,103,0.057886,13.707031
MINI COSMOS,28,A_star,27957,189,0.233554,14.312500
MINI COSMOS,29,A_star,4530,58,0.034918,14.437500
MINI COSMOS,30,A_star,39150,168,0.462540,14.714844
MINI COSMOS,31,A_star,1234,74,0.010924,13.746094
MINI COSMOS,32,A_star,1342,91,0.009975,13.746094
MINI COSMOS,33,A_star,5382,94,0.052837,13.882812
MINI COSMOS,34,A_star,8860,101,0.076787,13.957031
MINI COSMOS,35,A_star,2046,88,0.018992,13.957031
MINI COSMOS,36,A_star,4470,72,0.042918,14.042969
MINI COSMOS,37,A_star,4885,96,0.044875,14.042969
MINI COSMOS,38,A_star,5244,50,0.043872,14.042969
MINI COSMOS,39,A_star,11633,100,0.116300,14.558594
MINI COSMOS,40,A_star,4290,84,0.045856,13.855469
MICRO COSMOS,1,A_star,43862,49,0.532954,14.425781
MICRO COSMOS,2,A_star,717155,211,7.976260,76.199219
MICRO COSMOS,3,A_star,16161,123,0.156569,58.714844
MICRO COSMOS,4,A_star,82775,107,0.933712,56.101562
MICRO COSMOS,5,A_star,1030515,116,15.137980,116.070312
MICRO COSMOS,6,A_star,140618,65,1.966480,96.757812
MICRO COSMOS,7,A_star,9711,110,0.114202,73.593750
MICRO COSMOS,8,A_star,46879,89,0.781615,52.468750
MICRO COSMOS,9,A_star,287401,209,4.505779,53.464844
MICRO COSMOS,10,A_star,28826,117,0.328291,36.308594
MICRO COSMOS,11,A_star,147113,125,2.394326,35.851562
MICRO COSMOS,12,A_star,99863,67,1.677076,30.000000
MICRO COSMOS,13,A_star,19050,128,0.213427,28.171875
MICRO COSMOS,14,A_star,153646,164,1.829734,27.546875
MICRO COSMOS,15,A_star,349713,139,5.680412,38.523438
MICRO COSMOS,16,A_star,345740,119,4.991013,39.457031
MICRO COSMOS,17,A_star,899554,188,11.677118,95.359375
MICRO COSMOS,18,A_star,112656,147,1.317417,80.972656
MICRO COSMOS,19,A_star,920444,124,14.763653,103.585938
MICRO COSMOS,20,A_star,97802,146,1.556688,88.128906
MICRO COSMOS,21,A_star,137704,185,2.179854,84.265625
MICRO COSMOS,22,A_star,1349365,170,17.479246,146.832031
MICRO COSMOS,23,A_star,16108,91,0.259307,118.132812
MICRO COSMOS,24,A_star,540534,165,8.499847,107.738281
MICRO COSMOS,25,A_star,178895,130,2.549567,64.816406
MICRO COSMOS,26,A_star,606099,176,10.041629,71.011719
MICRO COSMOS,27,A_star,109952,234,2.648070,59.609375
MICRO COSMOS,28,A_star,4392,73,0.067836,55.183594
MICRO COSMOS,29,A_star,7880,83,0.112698,54.933594
MICRO COSMOS,30,A_star,77155,161,1.239386,56.523438
MICRO COSMOS,31,A_star,11795,101,0.177035,52.890625
MICRO COSMOS,32,A_star,19184,82,0.317117,48.140625
MICRO COSMOS,33,A_star,75388,173,1.331088,44.105469
MICRO COSMOS,34,A_star,28059,100,0.464765,39.867188
MICRO COSMOS,35,A_star,11556,70,0.212432,23.687500
MICRO COSMOS,36,A_star,58902,98,0.858900,23.996094
MICRO COSMOS,37,A_star,177564,184,3.084983,21.355469
MICRO COSMOS,38,A_star,163826,188,2.587548,22.550781
MICRO COSMOS,39,A_star,32532,151,0.435850,20.546875
MICRO COSMOS,40,A_star,19123,150,0.299264,20.546875
