Map,Level,Algorithm,Node generated,Step,Time (s),Memory (MB)
MINI COSMOS,1,BFS,378,37,0.000997,0.132812
MINI COSMOS,2,BFS,1445,60,0.005983,0.199219
MINI COSMOS,3,BFS,2658,69,0.011968,0.429688
MINI COSMOS,4,BFS,893,71,0.002991,0.445312
MINI COSMOS,5,BFS,5830,104,0.021941,0.808594
MINI COSMOS,6,BFS,17258,99,0.069813,2.152344
MINI COSMOS,7,BFS,4520,61,0.016954,2.171875
MINI COSMOS,8,BFS,13791,93,0.054854,2.250000
MINI COSMOS,9,BFS,2321,85,0.009973,2.250000
MINI COSMOS,10,BFS,6555,102,0.026929,2.250000
MINI COSMOS,11,BFS,5321,74,0.019947,2.250000
MINI COSMOS,12,BFS,28398,112,0.131650,3.648438
MINI COSMOS,13,BFS,13616,80,0.053856,3.710938
MINI COSMOS,14,BFS,92405,121,0.522113,9.683594
MINI COSMOS,15,BFS,4945,82,0.020944,7.816406
MINI COSMOS,16,BFS,13018,114,0.059879,8.316406
MINI COSMOS,17,BFS,3381,65,0.013920,8.316406
MINI COSMOS,18,BFS,10859,110,0.046895,8.316406
MINI COSMOS,19,BFS,5722,72,0.021940,8.316406
MINI COSMOS,20,BFS,17955,112,0.103739,8.332031
MINI COSMOS,21,BFS,6192,71,0.035905,8.347656
MINI COSMOS,22,BFS,14535,99,0.068814,8.347656
MINI COSMOS,23,BFS,21941,99,0.098776,8.394531
MINI COSMOS,24,BFS,166311,177,0.912560,15.953125
MINI COSMOS,25,BFS,5917,81,0.026927,13.960938
MINI COSMOS,26,BFS,24340,133,0.152609,14.351562
MINI COSMOS,27,BFS,7338,103,0.032909,14.351562
MINI COSMOS,28,BFS,28449,189,0.134860,14.355469
MINI COSMOS,29,BFS,4976,58,0.021941,14.355469
MINI COSMOS,30,BFS,40421,168,0.196476,14.355469
MINI COSMOS,31,BFS,1239,74,0.005983,14.355469
MINI COSMOS,32,BFS,1342,91,0.005983,14.355469
MINI COSMOS,33,BFS,7444,94,0.030917,14.355469
MINI COSMOS,34,BFS,10390,101,0.059890,14.355469
MINI COSMOS,35,BFS,2119,88,0.008977,14.355469
MINI COSMOS,36,BFS,4823,72,0.019947,14.355469
MINI COSMOS,37,BFS,4914,96,0.019945,14.355469
MINI COSMOS,38,BFS,5819,50,0.022940,14.355469
MINI COSMOS,39,BFS,12557,100,0.054855,14.355469
MINI COSMOS,40,BFS,4625,84,0.019947,14.355469
MICRO COSMOS,1,BFS,54490,49,0.253323,16.359375
MICRO COSMOS,2,BFS,778499,211,4.563975,74.609375
MICRO COSMOS,3,BFS,16620,123,0.082775,61.464844
MICRO COSMOS,4,BFS,84236,107,0.683225,57.546875
MICRO COSMOS,5,BFS,1041482,116,7.220542,116.085938
MICRO COSMOS,6,BFS,163865,65,0.794935,96.328125
MICRO COSMOS,7,BFS,9852,110,0.039510,74.839844
MICRO COSMOS,8,BFS,53322,89,0.221028,56.691406
MICRO COSMOS,9,BFS,287450,209,1.819402,53.375000
MICRO COSMOS,10,BFS,28837,117,0.143615,33.027344
MICRO COSMOS,11,BFS,156675,125,0.847916,32.882812
MICRO COSMOS,12,BFS,108386,67,0.577485,30.378906
MICRO COSMOS,13,BFS,19855,128,0.088762,26.679688
MICRO COSMOS,14,BFS,153686,164,0.861718,27.183594
MICRO COSMOS,15,BFS,361288,139,1.507652,36.824219
MICRO COSMOS,16,BFS,366858,119,1.560892,37.085938
MICRO COSMOS,17,BFS,900689,188,4.233479,93.335938
MICRO COSMOS,18,BFS,113525,147,0.434499,80.066406
MICRO COSMOS,19,BFS,927057,124,4.251895,100.906250
MICRO COSMOS,20,BFS,106522,146,0.398171,86.945312
MICRO COSMOS,21,BFS,145805,185,0.673198,80.007812
MICRO COSMOS,22,BFS,1412851,170,7.769595,146.296875
MICRO COSMOS,23,BFS,17929,91,0.068816,121.140625
MICRO COSMOS,24,BFS,580177,165,2.930766,92.023438
MICRO COSMOS,25,BFS,201502,130,0.967431,67.820312
MICRO COSMOS,26,BFS,663258,176,3.354242,71.718750
MICRO COSMOS,27,BFS,116258,234,0.514623,61.183594
MICRO COSMOS,28,BFS,4907,73,0.016956,57.687500
MICRO COSMOS,29,BFS,8138,83,0.027927,55.937500
MICRO COSMOS,30,BFS,91038,161,0.344620,52.359375
MICRO COSMOS,31,BFS,12878,101,0.085773,46.625000
MICRO COSMOS,32,BFS,20189,82,0.091754,39.125000
MICRO COSMOS,33,BFS,77061,173,0.320223,34.628906
MICRO COSMOS,34,BFS,57606,100,0.236598,31.753906
MICRO COSMOS,35,BFS,34148,70,0.130691,26.500000
MICRO COSMOS,36,BFS,59507,98,0.234883,27.003906
MICRO COSMOS,37,BFS,181267,184,0.819341,25.007812
MICRO COSMOS,38,BFS,171579,188,0.701504,23.675781
MICRO COSMOS,39,BFS,32836,151,0.118720,20.921875
MICRO COSMOS,40,BFS,19363,150,0.074802,19.421875
